n,icc_a1,mae,mean_error_bias,exact_match_pct,within_1_mark_pct,pearson_r,spearman_rho,question_no,model_key
25,0.6186,1.0,-0.84,32.0,76.0,0.7074,0.7113,Q22,gemini
25,0.6997,1.4,-0.92,16.0,56.0,0.766,0.6886,Q6,gemini
25,0.8977,0.48,0.24,40.0,92.0,0.9038,0.8118,Q8,gemini
25,0.2402,1.1,0.86,48.0,64.0,0.2936,0.2726,Q9,gemini
25,0.5863,1.14,-1.14,20.0,60.0,0.7547,0.7345,Q22,claude
25,0.7174,1.34,-1.02,8.0,48.0,0.8307,0.8113,Q6,claude
25,0.8425,0.72,0.36,24.0,80.0,0.8574,0.7541,Q8,claude
25,0.9132,0.22,0.22,84.0,92.0,0.9227,0.9344,Q9,claude
25,0.5857,1.02,-1.02,36.0,76.0,0.7051,0.6674,Q22,nemotron
25,0.4925,1.4,-0.4,24.0,68.0,0.4904,0.4428,Q6,nemotron
25,0.7813,0.92,0.36,16.0,76.0,0.7982,0.7053,Q8,nemotron
25,0.8844,0.32,0.24,76.0,88.0,0.8936,0.9282,Q9,nemotron
