response_id,question_no,max_score,human_score,grader_score,auditor_score,audit_passed,confidence_score,status,total_cost_usd,total_latency_s,errors
30720842,Q6,10.0,0.0,0.0,0.0,True,1.0,Auto-Approved,0.0,0.0,
30881447,Q6,10.0,5.0,3.5,4.5,False,0.95,Auto-Approved,0.038031,41.336,
30883350,Q6,10.0,2.0,1.0,1.0,True,1.0,Auto-Approved,0.0318,31.558,
30884772,Q6,10.0,2.0,1.5,1.5,True,1.0,Auto-Approved,0.026178,31.153,
30897181,Q6,10.0,4.0,3.0,1.5,False,0.925,Auto-Approved,0.043566,47.597,
30897254,Q6,10.0,5.0,3.5,4.0,False,0.975,Auto-Approved,0.030108,31.821,
31062377,Q6,10.0,4.0,3.5,3.5,True,1.0,Auto-Approved,0.03546,35.261,
31106897,Q6,10.0,3.0,4.5,4.5,True,1.0,Auto-Approved,0.038952,37.844,
31106951,Q6,10.0,7.0,5.5,4.0,False,0.925,Auto-Approved,0.070473,61.544,
31107125,Q6,10.0,9.0,8.0,6.0,False,0.9,Auto-Approved,0.051327,54.262,
31107494,Q6,10.0,4.0,4.0,4.0,True,1.0,Auto-Approved,0.030738,33.226,
31107834,Q6,10.0,7.0,4.5,4.5,True,1.0,Auto-Approved,0.033444,31.899,
31107990,Q6,10.0,8.0,5.5,4.0,False,0.925,Auto-Approved,0.052569,57.682,
31108083,Q6,10.0,8.0,8.0,6.5,False,0.925,Auto-Approved,0.068373,75.96,
31108490,Q6,10.0,7.0,4.5,6.0,False,0.925,Auto-Approved,0.050457,51.534,
31108547,Q6,10.0,5.0,4.5,3.0,False,0.925,Auto-Approved,0.041316,42.175,
31109462,Q6,10.0,4.0,5.5,5.5,True,1.0,Auto-Approved,0.040833,35.394,
31109551,Q6,10.0,6.0,4.0,4.0,True,1.0,Auto-Approved,0.033936,33.626,
31109578,Q6,10.0,3.0,3.5,3.5,True,1.0,Auto-Approved,0.037287,36.397,
31109675,Q6,10.0,6.0,4.5,6.0,False,0.925,Auto-Approved,0.051315,49.642,
31110185,Q6,10.0,7.0,7.0,7.0,True,1.0,Auto-Approved,0.045231,42.205,
31172091,Q6,10.0,7.0,4.0,3.0,False,0.95,Auto-Approved,0.04497,45.962,
31189946,Q6,10.0,4.0,3.0,3.0,True,1.0,Auto-Approved,0.031461,33.729,
31394647,Q6,10.0,8.0,5.5,5.5,True,1.0,Auto-Approved,0.04311,34.731,
31439209,Q6,10.0,6.0,4.5,4.5,True,1.0,Auto-Approved,0.037191,38.446,
30720842,Q8,10.0,6.0,6.5,5.5,False,0.95,Auto-Approved,0.041244,48.36,
30881447,Q8,10.0,5.5,5.5,4.5,False,0.95,Auto-Approved,0.035772,35.637,
30883350,Q8,10.0,4.0,4.0,4.0,True,1.0,Auto-Approved,0.0234,25.696,
30884772,Q8,10.0,5.0,5.0,5.0,True,1.0,Auto-Approved,0.029484,30.037,
30897181,Q8,10.0,4.0,4.5,4.0,False,0.975,Auto-Approved,0.026874,31.565,
30897254,Q8,10.0,1.0,1.0,1.0,True,1.0,Auto-Approved,0.023685,21.47,
31062377,Q8,10.0,1.0,1.0,1.0,True,1.0,Auto-Approved,0.025299,29.152,
31106897,Q8,10.0,5.5,6.5,7.5,False,0.95,Auto-Approved,0.033837,43.045,
31106951,Q8,10.0,5.5,5.5,5.5,True,1.0,Auto-Approved,0.035529,39.334,
31107125,Q8,10.0,7.5,6.5,7.0,False,0.975,Auto-Approved,0.032847,43.259,
31107494,Q8,10.0,5.0,5.5,7.0,False,0.925,Auto-Approved,0.039819,37.919,
31107834,Q8,10.0,5.5,5.0,6.0,False,0.95,Auto-Approved,0.037941,59.258,
31107990,Q8,10.0,4.5,7.0,7.0,True,1.0,Auto-Approved,0.031437,41.074,
31108083,Q8,10.0,5.5,4.0,4.0,True,1.0,Auto-Approved,0.031161,35.494,
