response_id,question_no,max_score,human_score,grader_score,auditor_score,audit_passed,confidence_score,status,total_cost_usd,total_latency_s,errors
30720842,Q6,10.0,0.0,0.0,0.0,True,1.0,Auto-Approved,0.0,0.0,
30881447,Q6,10.0,5.0,4.0,4.0,True,1.0,Auto-Approved,0.021187,232.83,
30883350,Q6,10.0,2.0,1.0,2.0,False,0.95,Auto-Approved,0.022919,37.664,
30884772,Q6,10.0,2.0,1.5,1.5,True,1.0,Auto-Approved,0.01654,40.436,
30897181,Q6,10.0,4.0,2.5,2.5,True,1.0,Auto-Approved,0.019253,37.728,
30897254,Q6,10.0,5.0,3.5,4.0,False,0.975,Auto-Approved,0.02039,25.443,
31062377,Q6,10.0,4.0,4.0,5.5,False,0.925,Auto-Approved,0.024929,42.586,
31106897,Q6,10.0,3.0,5.0,8.0,False,0.85,Auto-Approved,0.023466,30.774,
31106951,Q6,10.0,7.0,5.5,6.5,False,0.95,Auto-Approved,0.03314,412.124,
31107125,Q6,10.0,9.0,8.0,8.0,True,1.0,Auto-Approved,0.032707,41.787,
31107494,Q6,10.0,4.0,4.5,5.0,False,0.975,Auto-Approved,0.021425,38.031,
31107834,Q6,10.0,7.0,5.5,7.0,False,0.925,Auto-Approved,0.021451,29.258,
31107990,Q6,10.0,8.0,5.5,5.5,True,1.0,Auto-Approved,0.031856,38.25,
31108083,Q6,10.0,8.0,7.0,8.0,False,0.95,Auto-Approved,0.033065,39.848,
31108490,Q6,10.0,7.0,5.0,6.0,False,0.95,Auto-Approved,0.034502,45.73,
31108547,Q6,10.0,5.0,4.5,7.0,False,0.875,Auto-Approved,0.026837,36.192,
31109462,Q6,10.0,4.0,5.0,7.0,False,0.9,Auto-Approved,0.020011,25.24,
31109551,Q6,10.0,6.0,4.5,6.0,False,0.925,Auto-Approved,0.020734,33.11,
31109578,Q6,10.0,3.0,4.5,6.0,False,0.925,Auto-Approved,0.025372,30.913,
31109675,Q6,10.0,6.0,4.5,6.0,False,0.925,Auto-Approved,0.03096,39.804,
31110185,Q6,10.0,7.0,8.5,8.0,False,0.975,Auto-Approved,0.041164,54.495,
31172091,Q6,10.0,7.0,5.0,5.0,True,1.0,Auto-Approved,0.025031,33.376,
31189946,Q6,10.0,4.0,3.0,4.0,False,0.95,Auto-Approved,0.017569,22.465,
31394647,Q6,10.0,8.0,5.0,5.5,False,0.975,Auto-Approved,0.026794,80.714,
31439209,Q6,10.0,6.0,4.0,6.0,False,0.9,Auto-Approved,0.021307,42.78,
30720842,Q8,10.0,6.0,6.5,7.0,False,0.975,Auto-Approved,0.024564,48.594,
30881447,Q8,10.0,5.5,5.5,5.0,False,0.975,Auto-Approved,0.022616,38.868,
30883350,Q8,10.0,4.0,4.0,4.0,True,1.0,Auto-Approved,0.014889,35.416,
30884772,Q8,10.0,5.0,4.5,4.0,False,0.975,Auto-Approved,0.02253,38.086,
30897181,Q8,10.0,4.0,4.5,4.0,False,0.975,Auto-Approved,0.016777,38.427,
30897254,Q8,10.0,1.0,1.0,1.0,True,1.0,Auto-Approved,0.014689,14.92,
31062377,Q8,10.0,1.0,1.0,1.0,True,1.0,Auto-Approved,0.014806,26.308,
31106897,Q8,10.0,5.5,6.5,6.5,True,1.0,Auto-Approved,0.020774,42.519,
31106951,Q8,10.0,5.5,5.0,5.0,True,1.0,Auto-Approved,0.0233,38.276,
31107125,Q8,10.0,7.5,6.5,6.0,False,0.975,Auto-Approved,0.017982,40.432,
31107494,Q8,10.0,5.0,5.5,5.0,False,0.975,Auto-Approved,0.023366,24.855,
31107834,Q8,10.0,5.5,7.0,5.0,False,0.9,Auto-Approved,0.025711,48.654,
31107990,Q8,10.0,4.5,7.0,7.0,True,1.0,Auto-Approved,0.021461,35.752,
31108083,Q8,10.0,5.5,4.0,4.0,True,1.0,Auto-Approved,0.021712,43.849,
31108490,Q8,10.0,7.0,8.0,8.0,True,1.0,Auto-Approved,0.020098,31.983,
31108547,Q8,10.0,8.5,7.0,7.0,True,1.0,Auto-Approved,0.02139,29.132,
31109462,Q8,10.0,4.5,6.0,6.0,True,1.0,Auto-Approved,0.01692,29.029,
31109551,Q8,10.0,4.0,3.5,3.0,False,0.975,Auto-Approved,0.022016,48.524,
31109578,Q8,10.0,4.5,5.5,5.0,False,0.975,Auto-Approved,0.022768,38.906,
31109675,Q8,10.0,6.0,6.5,6.0,False,0.975,Auto-Approved,0.022193,30.465,
31110185,Q8,10.0,6.0,5.5,5.0,False,0.975,Auto-Approved,0.022879,36.742,
31172091,Q8,10.0,4.0,4.5,4.5,True,1.0,Auto-Approved,0.022118,45.868,
