response_id,question_no,max_score,human_score,grader_score,auditor_score,audit_passed,confidence_score,status,total_cost_usd,total_latency_s,errors
30720842,Q6,10.0,0.0,0.0,0.0,True,1.0,Auto-Approved,0.0,0.0,
30881447,Q6,10.0,5.0,4.0,4.0,True,1.0,Auto-Approved,0.020347,24.454,
30883350,Q6,10.0,2.0,2.0,2.0,True,1.0,Auto-Approved,0.021059,23.476,
30884772,Q6,10.0,2.0,2.0,2.0,True,1.0,Auto-Approved,0.013777,28.134,
30897181,Q6,10.0,4.0,1.5,1.0,False,0.975,Auto-Approved,0.028788,29.883,
30897254,Q6,10.0,5.0,3.5,3.5,True,1.0,Auto-Approved,0.020967,27.341,
31062377,Q6,10.0,4.0,3.5,3.5,True,1.0,Auto-Approved,0.02329,28.252,
31106897,Q6,10.0,3.0,5.0,5.0,True,1.0,Auto-Approved,0.02363,24.263,
31106951,Q6,10.0,7.0,6.0,5.0,False,0.95,Auto-Approved,0.036942,39.739,
31107125,Q6,10.0,9.0,7.5,6.5,False,0.95,Auto-Approved,0.034229,53.168,
31107494,Q6,10.0,4.0,4.0,4.0,True,1.0,Auto-Approved,0.01969,26.61,
31107834,Q6,10.0,7.0,6.0,6.0,True,1.0,Auto-Approved,0.024917,29.349,
31107990,Q6,10.0,8.0,5.5,5.5,False,1.0,Auto-Approved,0.034658,46.277,
31108083,Q6,10.0,8.0,8.0,7.0,False,0.95,Auto-Approved,0.033315,34.507,
31108490,Q6,10.0,7.0,5.0,5.0,True,1.0,Auto-Approved,0.031466,39.979,
31108547,Q6,10.0,5.0,4.5,4.5,False,1.0,Auto-Approved,0.026564,27.455,
31109462,Q6,10.0,4.0,4.5,4.5,False,1.0,Auto-Approved,0.022362,24.633,
31109551,Q6,10.0,6.0,5.0,3.5,False,0.925,Auto-Approved,0.025021,35.607,
31109578,Q6,10.0,3.0,3.5,3.5,True,1.0,Auto-Approved,0.029258,29.912,
31109675,Q6,10.0,6.0,5.5,5.5,True,1.0,Auto-Approved,0.03442,37.462,
31110185,Q6,10.0,7.0,8.5,7.5,False,0.95,Auto-Approved,0.046336,54.23,
31172091,Q6,10.0,7.0,4.5,4.5,True,1.0,Auto-Approved,0.023539,26.142,
31189946,Q6,10.0,4.0,2.0,2.0,True,1.0,Auto-Approved,0.020908,29.791,
31394647,Q6,10.0,8.0,5.5,5.5,True,1.0,Auto-Approved,0.031247,31.495,
31439209,Q6,10.0,6.0,4.5,4.5,True,1.0,Auto-Approved,0.025239,27.418,
30720842,Q8,10.0,6.0,6.5,6.5,True,1.0,Auto-Approved,0.023662,24.546,
30881447,Q8,10.0,5.5,6.0,6.0,True,1.0,Auto-Approved,0.027009,29.911,
30883350,Q8,10.0,4.0,4.0,4.0,True,1.0,Auto-Approved,0.015027,16.967,
30884772,Q8,10.0,5.0,5.0,5.0,True,1.0,Auto-Approved,0.020057,25.045,
30897181,Q8,10.0,4.0,4.5,4.5,True,1.0,Auto-Approved,0.01668,22.961,
30897254,Q8,10.0,1.0,1.0,1.0,True,1.0,Auto-Approved,0.015321,17.534,
31062377,Q8,10.0,1.0,1.0,1.0,True,1.0,Auto-Approved,0.015889,21.661,
31106897,Q8,10.0,5.5,6.0,6.0,True,1.0,Auto-Approved,0.024165,27.181,
31106951,Q8,10.0,5.5,5.5,5.5,True,1.0,Auto-Approved,0.023602,27.049,
31107125,Q8,10.0,7.5,7.0,7.0,True,1.0,Auto-Approved,0.021048,26.637,
31107494,Q8,10.0,5.0,6.5,5.5,False,0.95,Auto-Approved,0.024433,26.982,
31107834,Q8,10.0,5.5,7.0,5.5,False,0.925,Auto-Approved,0.022948,24.826,
31107990,Q8,10.0,4.5,7.0,7.0,True,1.0,Auto-Approved,0.021499,23.677,
31108083,Q8,10.0,5.5,4.5,4.5,True,1.0,Auto-Approved,0.020114,24.496,
31108490,Q8,10.0,7.0,8.0,8.0,True,1.0,Auto-Approved,0.019811,20.178,
31108547,Q8,10.0,8.5,7.5,7.5,True,1.0,Auto-Approved,0.024449,32.967,
31109462,Q8,10.0,4.5,6.0,6.0,True,1.0,Auto-Approved,0.01655,17.308,
31109551,Q8,10.0,4.0,4.0,4.0,True,1.0,Auto-Approved,0.020877,27.967,
31109578,Q8,10.0,4.5,5.5,5.0,False,0.975,Auto-Approved,0.019724,24.128,
31109675,Q8,10.0,6.0,6.5,6.5,True,1.0,Auto-Approved,0.020007,23.262,
31110185,Q8,10.0,6.0,5.5,5.5,True,1.0,Auto-Approved,0.022433,27.296,
31172091,Q8,10.0,4.0,4.5,4.5,True,1.0,Auto-Approved,0.019987,23.569,
31189946,Q8,10.0,4.0,4.0,4.0,True,1.0,Auto-Approved,0.014982,19.465,
31394647,Q8,10.0,6.0,6.0,6.0,True,1.0,Auto-Approved,0.020624,28.386,
31439209,Q8,10.0,5.0,5.5,5.5,True,1.0,Auto-Approved,0.022316,34.816,
32654936,Q9,6.0,6.0,6.0,6.0,True,1.0,Auto-Approved,0.018138,40.893,
32797052,Q9,6.0,3.0,3.0,3.0,True,1.0,Auto-Approved,0.023036,37.021,
32837046,Q9,6.0,6.0,6.0,6.0,True,1.0,Auto-Approved,0.02051,27.701,
32837283,Q9,6.0,3.0,3.0,3.0,True,1.0,Auto-Approved,0.020995,20.887,
32837526,Q9,6.0,4.0,4.0,5.0,False,0.9167,Auto-Approved,0.025133,31.029,
32837542,Q9,6.0,6.0,6.0,6.0,True,1.0,Auto-Approved,0.020749,18.151,
32837771,Q9,6.0,6.0,6.0,6.0,True,1.0,Auto-Approved,0.020864,18.445,
32838336,Q9,6.0,6.0,6.0,5.0,False,0.9167,Auto-Approved,0.016732,15.652,
32838662,Q9,6.0,5.0,5.0,5.0,True,1.0,Auto-Approved,0.021115,27.198,
32838859,Q9,6.0,5.0,5.0,5.0,True,1.0,Auto-Approved,0.023076,22.721,
32839308,Q9,6.0,3.0,4.5,3.5,False,0.9167,Auto-Approved,0.02155,20.542,
32839464,Q9,6.0,2.0,2.0,2.0,True,1.0,Auto-Approved,0.017268,15.872,
32839502,Q9,6.0,6.0,6.0,6.0,True,1.0,Auto-Approved,0.022636,28.701,
32839839,Q9,6.0,6.0,6.0,5.0,False,0.9167,Auto-Approved,0.024862,22.726,
32840748,Q9,6.0,6.0,6.0,6.0,True,1.0,Auto-Approved,0.020872,27.717,
32840802,Q9,6.0,2.0,2.0,3.0,False,0.9167,Auto-Approved,0.025093,25.027,
32841132,Q9,6.0,4.0,6.0,4.0,False,0.8333,Auto-Approved,0.022312,23.832,
32841523,Q9,6.0,6.0,6.0,5.5,False,0.9583,Auto-Approved,0.02452,31.026,
32841558,Q9,6.0,5.0,5.0,5.0,True,1.0,Auto-Approved,0.020004,17.781,
32842716,Q9,6.0,6.0,6.0,5.0,False,0.9167,Auto-Approved,0.024134,21.773,
32843194,Q9,6.0,2.0,3.0,2.0,False,0.9167,Auto-Approved,0.028361,35.406,
32843577,Q9,6.0,4.0,5.0,5.0,True,1.0,Auto-Approved,0.021852,20.351,
32843763,Q9,6.0,3.0,5.0,5.0,True,1.0,Auto-Approved,0.021409,19.539,
32843992,Q9,6.0,6.0,6.0,6.0,True,1.0,Auto-Approved,0.016639,14.153,
32844301,Q9,6.0,4.0,6.0,4.0,False,0.8333,Auto-Approved,0.029502,34.82,
32654936,Q22,6.0,3.0,3.0,3.0,True,1.0,Auto-Approved,0.016693,15.012,
32797052,Q22,6.0,6.0,6.0,4.0,False,0.8333,Auto-Approved,0.030956,30.652,
32837046,Q22,6.0,3.0,2.0,2.0,True,1.0,Auto-Approved,0.016238,25.035,
32837283,Q22,6.0,3.0,1.5,2.0,False,0.9583,Auto-Approved,0.020754,21.228,
32837526,Q22,6.0,3.0,2.0,2.0,True,1.0,Auto-Approved,0.014923,15.639,
32837542,Q22,6.0,6.0,5.0,4.0,False,0.9167,Auto-Approved,0.019586,17.077,
32837771,Q22,6.0,3.0,2.0,2.0,True,1.0,Auto-Approved,0.013384,20.973,
32838336,Q22,6.0,3.0,2.5,2.0,False,0.9583,Auto-Approved,0.019541,18.52,
32838662,Q22,6.0,6.0,5.0,4.0,False,0.9167,Auto-Approved,0.02044,18.388,
32838859,Q22,6.0,3.0,3.0,3.0,True,1.0,Auto-Approved,0.013234,10.408,
32839308,Q22,6.0,3.0,1.0,1.0,True,1.0,Auto-Approved,0.015052,23.511,
32839464,Q22,6.0,3.0,3.0,3.0,True,1.0,Auto-Approved,0.015435,14.226,
32839502,Q22,6.0,6.0,4.0,3.0,False,0.9167,Auto-Approved,0.020677,18.905,
32839839,Q22,6.0,6.0,6.0,5.0,False,0.9167,Auto-Approved,0.019307,15.36,
32840748,Q22,6.0,5.0,4.5,4.0,False,0.9583,Auto-Approved,0.02099,26.675,
32840802,Q22,6.0,6.0,3.5,3.0,False,0.9583,Auto-Approved,0.019211,17.292,
32841132,Q22,6.0,4.0,4.0,4.0,True,1.0,Auto-Approved,0.019897,17.719,
32841523,Q22,6.0,6.0,5.5,4.5,False,0.9167,Auto-Approved,0.020758,17.34,
32841558,Q22,6.0,6.0,2.5,1.5,False,0.9167,Auto-Approved,0.021441,29.224,
32842716,Q22,6.0,6.0,2.0,2.0,True,1.0,Auto-Approved,0.01636,13.577,
32843194,Q22,6.0,3.0,2.5,2.0,False,0.9583,Auto-Approved,0.014388,13.515,
32843577,Q22,6.0,6.0,5.5,4.5,False,0.9167,Auto-Approved,0.017942,14.772,
32843763,Q22,6.0,3.0,3.0,3.0,True,1.0,Auto-Approved,0.013707,28.824,
32843992,Q22,6.0,6.0,6.0,6.0,True,1.0,Auto-Approved,0.025857,39.074,
32844301,Q22,6.0,6.0,4.5,4.0,False,0.9583,Auto-Approved,0.017221,23.251,
