response_id,question_no,max_score,human_score,ai_score,latency_s,input_tokens,output_tokens,cost_usd,error
30720842,Q6,10.0,0.0,0.0,0.0,0,0,0.0,
30881447,Q6,10.0,5.0,4.0,3.763,1013,368,0.000805,
30883350,Q6,10.0,2.0,1.5,3.242,912,318,0.000705,
30884772,Q6,10.0,2.0,1.5,5.632,890,251,0.000599,
30897181,Q6,10.0,4.0,1.0,2.747,938,303,0.000689,
30897254,Q6,10.0,5.0,3.0,2.996,968,440,0.000902,
31062377,Q6,10.0,4.0,5.0,7.577,985,262,0.000639,
31106897,Q6,10.0,3.0,3.0,10.154,1014,510,0.001019,
31106951,Q6,10.0,7.0,6.0,2.861,1295,311,0.00079,
31107125,Q6,10.0,9.0,7.0,2.558,981,319,0.000724,
31107494,Q6,10.0,4.0,3.0,3.323,1008,384,0.000828,
31107834,Q6,10.0,7.0,6.0,5.498,1056,717,0.001339,
31107990,Q6,10.0,8.0,5.0,4.223,1114,319,0.000757,
31108083,Q6,10.0,8.0,6.0,2.783,1096,314,0.000745,
31108490,Q6,10.0,7.0,6.0,10.252,1107,421,0.000908,
31108547,Q6,10.0,5.0,4.0,3.362,1056,385,0.000842,
31109462,Q6,10.0,4.0,6.0,3.377,1040,293,0.0007,
31109551,Q6,10.0,6.0,6.0,2.996,1157,477,0.001005,
31109578,Q6,10.0,3.0,6.0,2.786,1020,342,0.000768,
31109675,Q6,10.0,6.0,5.0,5.897,1277,616,0.001243,
31110185,Q6,10.0,7.0,7.0,3.033,1032,309,0.000721,
31172091,Q6,10.0,7.0,5.0,5.316,915,408,0.000841,
31189946,Q6,10.0,4.0,2.0,3.343,955,352,0.000767,
31394647,Q6,10.0,8.0,5.0,3.191,1157,299,0.000738,
31439209,Q6,10.0,6.0,4.0,4.738,967,337,0.000747,
32654936,Q9,6.0,6.0,6.0,3.088,1024,542,0.001069,
32797052,Q9,6.0,3.0,6.0,4.122,989,309,0.000711,
32837046,Q9,6.0,6.0,6.0,2.348,1036,404,0.000865,
32837283,Q9,6.0,3.0,6.0,4.094,895,324,0.00071,
32837526,Q9,6.0,4.0,6.0,3.388,996,342,0.000762,
32837542,Q9,6.0,6.0,6.0,6.228,1130,303,0.000737,
32837771,Q9,6.0,6.0,6.0,3.088,1120,444,0.000946,
32838336,Q9,6.0,6.0,6.0,3.435,1022,415,0.000878,
32838662,Q9,6.0,5.0,3.5,4.245,964,295,0.000684,
32838859,Q9,6.0,5.0,5.0,3.291,999,549,0.001073,
32839308,Q9,6.0,3.0,5.0,4.304,999,531,0.001046,
32839464,Q9,6.0,2.0,6.0,10.065,1046,406,0.00087,
32839502,Q9,6.0,6.0,6.0,2.892,1058,384,0.00084,
32839839,Q9,6.0,6.0,6.0,4.271,1085,407,0.000882,
32840748,Q9,6.0,6.0,6.0,3.396,1137,579,0.001153,
32840802,Q9,6.0,2.0,3.0,2.88,1118,470,0.000985,
32841132,Q9,6.0,4.0,6.0,3.139,1005,482,0.000974,
32841523,Q9,6.0,6.0,6.0,2.973,1074,395,0.000861,
32841558,Q9,6.0,5.0,4.5,2.771,1002,386,0.000829,
32842716,Q9,6.0,6.0,6.0,2.888,1052,367,0.000813,
32843194,Q9,6.0,2.0,7.0,3.099,980,429,0.000888,
32843577,Q9,6.0,4.0,6.0,3.935,986,432,0.000894,
32843763,Q9,6.0,3.0,2.0,4.438,1014,350,0.000778,
32843992,Q9,6.0,6.0,6.0,3.016,1002,373,0.00081,
32844301,Q9,6.0,4.0,4.5,3.107,1032,447,0.000929,
30720842,Q8,10.0,6.0,6.0,4.715,1182,450,0.000971,
30881447,Q8,10.0,5.5,6.0,3.62,1007,466,0.000951,
30883350,Q8,10.0,4.0,3.5,6.033,1005,319,0.00073,
30884772,Q8,10.0,5.0,5.0,8.544,978,418,0.000872,
30897181,Q8,10.0,4.0,5.0,4.487,927,345,0.000749,
30897254,Q8,10.0,1.0,1.0,6.044,918,331,0.000726,
31062377,Q8,10.0,1.0,1.0,3.249,920,295,0.000673,
31106897,Q8,10.0,5.5,5.0,3.529,1061,396,0.000859,
31106951,Q8,10.0,5.5,5.0,4.045,1094,399,0.000872,
31107125,Q8,10.0,7.5,7.0,2.655,992,345,0.000765,
31107494,Q8,10.0,5.0,5.0,5.448,964,388,0.000823,
31107834,Q8,10.0,5.5,6.0,9.781,983,390,0.000831,
31107990,Q8,10.0,4.5,7.0,4.972,1058,372,0.000822,
31108083,Q8,10.0,5.5,5.0,3.047,1123,355,0.000813,
31108490,Q8,10.0,7.0,7.0,6.71,1023,426,0.000895,
31108547,Q8,10.0,8.5,8.0,4.87,1076,419,0.000897,
31109462,Q8,10.0,4.5,6.0,2.845,987,393,0.000836,
31109551,Q8,10.0,4.0,4.0,3.437,1085,315,0.000744,
31109578,Q8,10.0,4.5,5.0,6.439,1016,382,0.000827,
31109675,Q8,10.0,6.0,7.0,3.38,1001,421,0.000882,
31110185,Q8,10.0,6.0,6.0,5.216,1012,428,0.000895,
31172091,Q8,10.0,4.0,5.0,2.69,1021,354,0.000786,
31189946,Q8,10.0,4.0,4.5,2.37,902,296,0.000669,
31394647,Q8,10.0,6.0,6.0,2.879,1018,368,0.000806,
31439209,Q8,10.0,5.0,5.0,6.093,1036,361,0.0008,
32654936,Q22,6.0,3.0,2.0,10.032,1265,343,0.000831,
32797052,Q22,6.0,6.0,7.0,7.451,1204,523,0.001086,
32837046,Q22,6.0,3.0,2.0,10.958,1124,310,0.000746,
32837283,Q22,6.0,3.0,2.0,3.325,1106,289,0.00071,
32837526,Q22,6.0,3.0,2.0,10.14,1115,281,0.0007,
32837542,Q22,6.0,6.0,6.0,3.883,1198,543,0.001114,
32837771,Q22,6.0,3.0,3.0,8.145,1119,234,0.000631,
32838336,Q22,6.0,3.0,3.0,6.915,1006,357,0.000787,
32838662,Q22,6.0,6.0,5.0,2.546,1116,425,0.000916,
32838859,Q22,6.0,3.0,3.0,4.277,1165,326,0.00078,
32839308,Q22,6.0,3.0,2.0,10.168,1139,354,0.000816,
32839464,Q22,6.0,3.0,3.0,3.147,1255,299,0.000762,
32839502,Q22,6.0,6.0,5.0,6.37,1154,446,0.000958,
32839839,Q22,6.0,6.0,5.5,3.099,1180,433,0.000945,
32840748,Q22,6.0,5.0,6.0,2.627,1116,440,0.000939,
32840802,Q22,6.0,6.0,3.0,10.167,1043,482,0.000984,
32841132,Q22,6.0,4.0,4.0,6.842,1104,406,0.000885,
32841523,Q22,6.0,6.0,4.5,5.05,1130,452,0.00096,
32841558,Q22,6.0,6.0,3.5,4.018,1051,450,0.000938,
32842716,Q22,6.0,6.0,2.0,3.026,1083,443,0.000935,
32843194,Q22,6.0,3.0,2.0,4.395,1121,330,0.000775,
32843577,Q22,6.0,6.0,4.5,7.724,1060,475,0.000978,
32843763,Q22,6.0,3.0,3.0,6.406,1122,384,0.000857,
32843992,Q22,6.0,6.0,6.0,3.366,1156,431,0.000936,
32844301,Q22,6.0,6.0,4.0,2.596,1070,381,0.000839,
